gen	pop	freqMut	ScoefMut	DcoefMut	Ne	hmode	prod	U	rho	seed
40000	1	0.168877	6.76979e-05	0.326794	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00639787	0.392553	0.00534173	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00639787	0.00578097	0.225784	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00519827	0.843696	0.00670404	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0107964	0.696059	0.000158411	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0319893	0.00212658	0.137326	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0633789	0.00200667	0.0146187	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0633789	0.00522148	0.00516401	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0101633	0.000948884	0.0281448	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00606465	0.00409631	0.273292	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0127957	0.0058196	0.443728	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0108297	0.050393	0.0783358	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00946351	0.07024	0.093982	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.020993	0.00758394	0.0871532	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0376541	0.00163044	0.359632	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0138954	0.00525392	0.178213	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0101966	0.0161871	0.144029	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00619793	0.0112931	0.46372	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.146218	0.00268366	0.0671327	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0328557	0.0315015	0.0192324	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00683106	0.000367007	0.252188	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00703099	0.799584	0.0162918	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00806398	0.00311377	0.394332	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.01013	0.0254678	0.108522	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0104299	0.000698457	0.0445422	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0114295	0.606828	0.00329538	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.00909697	0.00497999	0.0407162	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
40000	1	0.0134289	0.023382	0.0287901	Ne20000	hmode1	prod1	U2	rho0.0001	seed140631444
